Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,Class
"15.231,00","525,58","229,75","85,09","0,93","15.617,00","0,57",Cammeo
"14.656,00","494,31","206,02","91,73","0,90","15.072,00","0,62",Cammeo
"14.634,00","501,12","214,11","87,77","0,91","14.954,00","0,69",Cammeo
"13.176,00","458,34","193,34","87,45","0,89","13.368,00","0,64",Cammeo
"14.688,00","507,17","211,74","89,31","0,91","15.262,00","0,65",Cammeo
"13.479,00","477,02","200,05","86,65","0,90","13.786,00","0,66",Cammeo
"15.757,00","509,28","207,30","98,34","0,88","16.150,00","0,59",Cammeo
"16.405,00","526,57","221,61","95,44","0,90","16.837,00","0,66",Cammeo
"14.534,00","483,64","196,65","95,05","0,88","14.932,00","0,65",Cammeo
"13.485,00","471,57","198,27","87,73","0,90","13.734,00","0,57",Cammeo
"14.930,00","499,92","212,25","90,02","0,91","15.248,00","0,62",Cammeo
"14.626,00","496,59","204,53","92,97","0,89","15.070,00","0,57",Cammeo
"15.926,00","522,74","225,74","91,06","0,92","16.240,00","0,78",Cammeo
"14.076,00","479,68","199,49","90,71","0,89","14.434,00","0,78",Cammeo
"13.500,00","476,92","202,55","85,41","0,91","13.800,00","0,72",Cammeo
"14.349,00","496,95","213,54","86,16","0,91","14.678,00","0,67",Cammeo
"15.209,00","496,57","214,05","91,03","0,91","15.395,00","0,57",Cammeo
"15.238,00","496,87","208,53","93,83","0,89","15.487,00","0,73",Cammeo
"13.509,00","480,47","207,14","83,94","0,91","13.732,00","0,60",Cammeo
"13.699,00","480,73","197,97","89,95","0,89","14.178,00","0,67",Cammeo
"13.921,00","481,99","203,44","88,13","0,90","14.210,00","0,56",Cammeo
"14.405,00","488,24","204,43","90,63","0,90","14.742,00","0,76",Cammeo
"13.377,00","472,96","199,94","86,68","0,90","13.685,00","0,79",Cammeo
"15.043,00","498,30","206,01","94,77","0,89","15.414,00","0,59",Cammeo
"14.590,00","496,17","212,10","88,60","0,91","14.883,00","0,57",Cammeo
"13.237,00","466,00","197,90","85,71","0,90","13.445,00","0,59",Cammeo
"16.226,00","524,21","216,87","96,65","0,90","16.748,00","0,65",Cammeo
"13.203,00","469,47","199,34","85,39","0,90","13.431,00","0,60",Cammeo
"13.328,00","473,04","201,40","85,26","0,91","13.588,00","0,78",Cammeo
"14.945,00","493,11","202,05","95,08","0,88","15.357,00","0,74",Cammeo
"13.130,00","467,92","196,15","86,21","0,90","13.462,00","0,57",Cammeo
"13.414,00","479,90","203,09","85,74","0,91","13.735,00","0,71",Cammeo
"16.104,00","507,43","206,07","100,75","0,87","16.457,00","0,61",Cammeo
"11.827,00","455,22","194,78","78,43","0,92","12.212,00","0,77",Cammeo
"14.479,00","475,92","200,55","92,18","0,89","14.696,00","0,71",Cammeo
"14.306,00","482,25","197,69","94,06","0,88","14.667,00","0,59",Cammeo
"14.415,00","488,12","203,59","91,03","0,89","14.758,00","0,67",Cammeo
"14.415,00","490,07","206,54","90,02","0,90","14.671,00","0,65",Cammeo
"14.524,00","480,21","199,93","93,31","0,88","14.808,00","0,61",Cammeo
"13.780,00","497,43","221,72","79,95","0,93","14.010,00","0,55",Cammeo
"12.768,00","464,82","195,39","84,36","0,90","13.085,00","0,58",Cammeo
"13.047,00","486,37","213,19","79,29","0,93","13.621,00","0,62",Cammeo
"14.456,00","492,95","212,41","87,36","0,91","14.726,00","0,80",Cammeo
"13.973,00","474,01","192,35","93,78","0,87","14.354,00","0,61",Cammeo
"13.858,00","482,58","205,02","86,96","0,91","14.154,00","0,56",Cammeo
"13.148,00","481,72","201,52","84,54","0,91","13.572,00","0,62",Cammeo
"12.792,00","462,07","194,48","84,73","0,90","13.032,00","0,59",Cammeo
"15.778,00","515,27","214,04","95,50","0,89","16.283,00","0,69",Cammeo
"15.404,00","509,52","217,30","91,40","0,91","15.696,00","0,63",Cammeo
"14.911,00","494,09","207,56","92,41","0,90","15.132,00","0,60",Cammeo
"15.360,00","504,23","210,39","94,74","0,89","15.751,00","0,76",Cammeo
"15.746,00","503,23","204,87","99,45","0,87","16.171,00","0,75",Cammeo
"14.304,00","489,04","211,03","86,84","0,91","14.483,00","0,58",Cammeo
"15.136,00","518,64","221,71","88,21","0,92","15.469,00","0,53",Cammeo
"12.919,00","475,26","201,82","83,21","0,91","13.256,00","0,77",Cammeo
"15.224,00","510,88","213,20","92,32","0,90","15.686,00","0,64",Cammeo
"12.950,00","468,57","196,62","84,80","0,90","13.584,00","0,76",Cammeo
"13.536,00","478,01","203,17","85,91","0,91","13.810,00","0,55",Cammeo
"15.551,00","508,41","217,02","92,15","0,91","15.786,00","0,81",Cammeo
"14.166,00","483,70","204,63","88,99","0,90","14.412,00","0,77",Cammeo
"13.916,00","478,88","201,64","88,56","0,90","14.221,00","0,60",Cammeo
"12.308,00","451,61","193,27","81,66","0,91","12.488,00","0,72",Cammeo
"15.127,00","499,80","212,90","91,15","0,90","15.370,00","0,71",Cammeo
"14.115,00","486,27","207,55","87,78","0,91","14.422,00","0,60",Cammeo
"17.313,00","531,98","225,53","98,44","0,90","17.582,00","0,57",Cammeo
"15.147,00","511,29","216,10","90,95","0,91","15.637,00","0,53",Cammeo
"16.419,00","531,42","224,07","94,54","0,91","16.874,00","0,55",Cammeo
"13.737,00","484,39","209,54","84,17","0,92","13.944,00","0,61",Cammeo
